,Lp,code,url,title,rooms,price,price_m2,area,district
41,44,44rut,https://www.otodom.pl/oferta/4-pokoje-w-wysokim-standardzie-na-zoliborzu-kepa-ID44rut.html#65ef490b31,4 pokoje W Wysokim Standardzie na Żoliborzu! Kępa,4,1399000.0,12718.0,110.0,ŻOLIBORZ
42,45,44rus,https://www.otodom.pl/oferta/2-stylowe-popkoje-w-kamienicy-ID44rus.html#65ef490b31,2 stylowe popkoje w kamienicy!,2,630000.0,16579.0,38.0,ŚRÓDMIEŚCIE
43,46,44rur,https://www.otodom.pl/oferta/2-pokoje-na-powislu-swietna-lokalizacja-ID44rur.html#65ef490b31,2 pokoje na Powiślu! Świetna Lokalizacja!,2,860000.0,14333.0,60.0,ŚRÓDMIEŚCIE
44,47,44rup,https://www.otodom.pl/oferta/3-pokoje-w-bardzo-dobrym-standardzie-na-bielanach-ID44rup.html#65ef490b31,3 pokoje w bardzo dobrym standardzie na Bielanach!,3,530000.0,9636.0,55.0,BIELANY
45,48,44ruo,https://www.otodom.pl/oferta/3-pokoje-w-srodmiesciu-inwestycja-apartamenty-mur-ID44ruo.html#65ef490b31,3 pokoje w Śródmieściu! Inwestycja Apartamenty Mur,3,1344000.0,16000.0,84.0,ŚRÓDMIEŚCIE
46,49,44run,https://www.otodom.pl/oferta/wysoki-standard-2-pokoje-w-srodmiesciu-ID44run.html#65ef490b31,Wysoki Standard! 2 pokoje w Śródmieściu!,2,690000.0,18548.0,37.2,ŚRÓDMIEŚCIE
47,50,44rum,https://www.otodom.pl/oferta/idealne-pod-inwestycje-3-pokoje-na-grzybowskiej-ID44rum.html#65ef490b31,Idealne Pod Inwestycję! 3 pokoje na Grzybowskiej!,3,475000.0,9896.0,48.0,ŚRÓDMIEŚCIE
48,51,44rul,https://www.otodom.pl/oferta/dla-wymagajacych-wysoki-standard-wykonczenia-w-mi-ID44rul.html#65ef490b31,Dla Wymagających! Wysoki standard wykończenia w mi,2,1790000.0,22375.0,80.0,ŚRÓDMIEŚCIE
49,52,44ruk,https://www.otodom.pl/oferta/apartament-w-srodmiesciu-3-pokoje-ID44ruk.html#65ef490b31,Apartament w Śródmieściu! 3 pokoje!,3,1400000.0,16667.0,84.0,ŚRÓDMIEŚCIE
50,53,44ruj,https://www.otodom.pl/oferta/kawalerka-na-woli-przy-centrum-ID44ruj.html#65ef490b31,Kawalerka na Woli przy Centrum!,1,310000.0,12917.0,24.0,WOLA
